CampaignID,StartDate,EndDate,Channel,Impressions,Clicks,Leads,Conversions,Cost_USD,Revenue_USD,ROI,Campaign_Duration,Start_Month,Start_Day,Start_Year,CTR,CPC,CPL,CPA,Leads_Rate,Conversion_Rate,Profit,ROAS
CAMP00001,2025-04-13,2025-04-19,Search,293520,23335,11643,5389,1052.39,2236.02,112.47066201693285,6,4,13,2025,0.07950054510765876,0.04509920719948576,0.09038821609550804,0.19528483948784564,0.4989500749946432,0.4628532165249506,1183.6299999999999,2.1247066201693285
CAMP00002,2025-12-15,2025-12-24,Search,200340,15841,6601,2498,3964.9,11740.15,196.10204544881333,9,12,15,2025,0.07907058001397624,0.250293542074364,0.6006514164520528,1.5872297838270617,0.41670349094122844,0.3784275109831844,7775.25,2.9610204544881333
CAMP00003,2025-09-28,2025-10-06,Email,239365,16478,8043,3397,1000.39,1902.24,90.1498415617909,8,9,28,2025,0.06884047375347273,0.060710644495691225,0.12438020639065026,0.2944921989991169,0.4881053525913339,0.422354842720378,901.85,1.901498415617909
CAMP00004,2025-04-17,2025-04-30,Search,156382,2672,1014,342,1252.63,2209.74,76.40803748912285,13,4,17,2025,0.017086365438477573,0.4687986526946108,1.2353353057199212,3.6626608187134506,0.37949101796407186,0.33727810650887574,957.1099999999997,1.7640803748912286
CAMP00005,2025-03-13,2025-03-22,Influencer,285472,4155,1521,565,4935.48,14111.31,185.91565562012207,9,3,13,2025,0.014554842506445466,1.1878411552346568,3.2448915187376723,8.735362831858406,0.36606498194945847,0.3714661406969099,9175.83,2.8591565562012207
CAMP00006,2025-07-08,2025-07-21,Social,177469,7979,3231,1446,3540.34,3885.94,9.761774292864525,13,7,8,2025,0.04495996483892962,0.44370723148264196,1.0957412565769111,2.4483679114799446,0.4049379621506454,0.44753946146703805,345.5999999999999,1.0976177429286453
CAMP00007,2025-01-21,2025-02-05,Display,174231,2160,379,107,1999.53,3306.37,65.35735897936014,15,1,21,2025,0.012397334573066791,0.9257083333333334,5.275804749340369,18.687196261682242,0.17546296296296296,0.28232189973614774,1306.84,1.6535735897936015
CAMP00008,2025-04-13,2025-04-26,Display,234598,21435,9052,2295,3793.91,7159.09,88.69952107456425,13,4,13,2025,0.0913690653799265,0.17699603452297644,0.41912395050817497,1.653119825708061,0.4222999766736646,0.25353513035793196,3365.1800000000003,1.8869952107456425
CAMP00009,2025-05-02,2025-05-08,Influencer,209438,2474,1207,697,2385.72,2800.53,17.387203862984776,6,5,2,2025,0.011812565055052092,0.9643168957154405,1.976570008285004,3.422840746054519,0.48787388843977364,0.5774647887323944,414.8100000000004,1.1738720386298478
CAMP00010,2025-08-03,2025-08-16,Search,195376,2474,852,251,1142.07,2323.19,103.41922999465885,13,8,3,2025,0.012662763082466628,0.46162894098625706,1.3404577464788732,4.5500796812749,0.34438156831042843,0.29460093896713613,1181.1200000000001,2.0341922999465885
CAMP00011,2025-11-27,2025-12-04,Social,53998,1343,140,55,2491.07,4360.88,75.06051616373685,7,11,27,2025,0.0248712915293159,1.854854802680566,17.793357142857143,45.292181818181824,0.10424422933730454,0.39285714285714285,1869.81,1.7506051616373686
CAMP00012,2025-03-29,2025-04-06,Search,107304,7128,918,463,3882.92,7276.43,87.39582582180422,8,3,29,2025,0.06642809214940729,0.5447418630751965,4.229760348583878,8.386436285097192,0.12878787878787878,0.5043572984749455,3393.51,1.873958258218042
CAMP00013,2025-04-10,2025-04-15,Email,194692,11436,2217,936,973.85,2310.62,137.2665194845202,5,4,10,2025,0.05873893123497627,0.08515652325988107,0.43926477221470456,1.0404380341880342,0.19386149003147954,0.42219215155615697,1336.77,2.3726651948452018
CAMP00014,2025-12-26,2025-12-31,Search,207001,14356,4255,1931,2479.11,2827.93,14.070372028671569,5,12,26,2025,0.06935232196945909,0.17268807467261077,0.5826345475910694,1.2838477472812015,0.2963917525773196,0.4538190364277321,348.8199999999997,1.1407037202867156
CAMP00015,2025-06-01,2025-06-06,Email,257862,23315,6190,1642,684.67,2001.69,192.358362422773,5,6,1,2025,0.09041657941069255,0.029366073343341195,0.11060904684975767,0.416973203410475,0.2654943169633283,0.2652665589660743,1317.02,2.92358362422773
CAMP00016,2025-05-11,2025-05-24,Display,159957,8149,4006,1434,4229.14,8648.05,104.48720070747241,13,5,11,2025,0.0509449414530155,0.5189765615412935,1.0557014478282576,2.9491910739191076,0.4915940606209351,0.3579630554168747,4418.909999999999,2.044872007074724
CAMP00017,2025-05-30,2025-06-14,Social,12103,168,80,38,4112.15,11010.78,167.76211957248645,15,5,30,2025,0.013880855986119144,24.477083333333333,51.401875,108.21447368421052,0.47619047619047616,0.475,6898.630000000001,2.6776211957248646
CAMP00018,2025-11-05,2025-11-17,Email,281690,22173,5700,1618,3399.93,5565.65,63.69895850796928,12,11,5,2025,0.07871418935709468,0.15333649032607224,0.596478947368421,2.1013164400494437,0.2570694087403599,0.28385964912280703,2165.72,1.6369895850796927
